job_id,date_posted,total_components,covered_components,coverage_percentage,skill_coverage_pct,knowledge_coverage_pct,avg_skill_confidence,avg_knowledge_confidence,missing_components_count,run_id
in-1ff77799c8c16660,,19,1,0.0102589269728429,0.0102589269728429,0.0,0.661813171205881,0.0,18,results_run1
in-8b20bbf16019e5c1,,19,0,0.0,0.0,0.0,0.5672441280000001,0.0,19,results_run1
in-c6260e808dfcf870,,19,0,0.0,0.0,0.0,0.604806528,0.0,19,results_run1
in-08bda50c77b08f46,,19,0,0.0,0.0,0.0,0.5974072992,0.0,19,results_run1
in-9c56a08563d056f0,,19,0,0.0,0.0,0.0,0.0,0.0,19,results_run1
in-63f669715089b1d1,,19,0,0.0,0.0,0.0,0.0,0.0,19,results_run1
in-e60f7f8e30553e08,,19,3,0.053835435426048,0.0157512164220694,0.0380842190039785,0.64567369728,0.75,16,results_run1
in-f8982109357c56e0,,19,5,0.1418634072209878,0.0427182864856094,0.1418634072209878,0.55920112704,0.8249762975474199,14,results_run1
in-ea2cd0b0c6f52f4f,,19,0,0.0,0.0,0.0,0.6512757603840001,0.75,19,results_run1
in-26af18a0c573f667,,19,1,0.0075053311094815,0.0075053311094815,0.0,0.6461815863039798,0.0,18,results_run1
in-6e0bef22111034dc,,19,5,0.0857021464313078,0.0152686948038777,0.0704334516274301,0.58100654016,0.75,14,results_run1
in-1d2c80ce481cb11f,,19,0,0.0,0.0,0.0,0.0,0.0,19,results_run1
in-aff3b59d34df3979,,19,5,0.0826433990925027,0.0826433990925027,0.0,0.607024410624,0.0,14,results_run1
in-42b2f9911c525537,,19,0,0.0,0.0,0.0,0.0,0.0,19,results_run1
in-cd0b808434c4f92d,,19,0,0.0,0.0,0.0,0.0,0.0,19,results_run1
in-083ac975933f3cb9,,19,2,0.0246769735433113,0.0246769735433113,0.0,0.5553908252206841,0.0,17,results_run1
in-9f46d4765e1e5db4,,19,0,0.0,0.0,0.0,0.60086304,0.0,19,results_run1
in-879b2fe47e1fbc66,,19,5,0.1179019203363627,0.1179019203363627,0.0,0.67144580145,0.75,14,results_run1
in-b743930ff16064e7,,19,6,0.118676671856328,0.0,0.118676671856328,0.5705694720000001,0.75,13,results_run1
in-3d878553075cff9f,,19,0,0.0,0.0,0.0,0.0,0.0,19,results_run1
in-66b97dc6ae697ac9,,19,2,0.0198053302502065,0.0198053302502065,0.0,0.6214994332257328,0.0,17,results_run1
in-3787ada24baceced,,19,5,0.1397376170999396,0.0,0.1397376170999396,0.0,0.824128649165233,14,results_run1
in-35bde22582c02ec9,,19,0,0.0,0.0,0.0,0.0,0.0,19,results_run1
in-5986e2e416ec3ef2,,19,2,0.0160658165652408,0.0160658165652408,0.0,0.5790532404377838,0.0,17,results_run1
in-76bdc299da84b00b,,19,0,0.0,0.0,0.0,0.608334912,0.0,19,results_run1
in-dcd8dd1044f2926f,,19,0,0.0,0.0,0.0,0.6633567104304228,0.7902500045001507,19,results_run1
in-c07071dff55c7f74,,19,1,0.0202115441623487,0.0,0.0202115441623487,0.0,0.75,18,results_run1
in-04d821a61bf4f3f8,,19,3,0.0629914680377639,0.0388579539007536,0.0607095950528195,0.6059065536000001,0.75,16,results_run1
in-6434f75ccfa896cd,,19,5,0.0992104900510687,0.0087633669702225,0.0992104900510687,0.5815766300451667,0.75,14,results_run1
in-59f89f855608fde0,,19,9,0.2559652203614398,0.1406279250801802,0.1357986142760829,0.7095323363837136,0.75,10,results_run1
in-7f1b7715acb11a2e,,19,6,0.1194980395467658,0.0139797987949011,0.1194980395467658,0.6040153036800001,0.75,13,results_run1
in-4253237d507304c7,,19,3,0.0632665684348658,0.0,0.0632665684348658,0.0,0.75,16,results_run1
in-2ea46d88545e7e84,,19,1,0.0275097707094034,0.0275097707094034,0.0,0.7062463467339543,0.75,18,results_run1
in-81cfe369e4ad49b5,,19,2,0.0400102841226678,0.0,0.0400102841226678,0.0,0.75,17,results_run1
in-3f1f20262049095a,,19,2,0.0357136993169569,0.0357136993169569,0.0,0.6847775072755007,0.0,17,results_run1
