job_id,date_posted,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,composite_score,verification_level,threshold_source,is_verified
in-1ff77799c8c16660,,drive assurance initiatives,Soft,,0.803,High,BERT+LLM,0.83,1.27,0.8341999999999999,Verified_HIGH,calibrated,True
in-1ff77799c8c16660,,drive advisory initiatives,Soft,,0.702,Medium High,BERT+LLM,0.86,1.16,0.7653,Verified_HIGH,calibrated,True
in-1ff77799c8c16660,,support technology portfolio,Soft,,0.682,Medium,LLM,0.86,1.0,0.7092999999999999,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,enable bank operations,Soft,,0.608,Medium,LLM,0.8,0.9,0.6406999999999999,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,empower bank operations,Soft,,0.61,Medium,LLM,0.81,0.9,0.643,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,focus on productivity,Soft,,0.607,Medium,LLM,0.79,0.9,0.6388,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,focus on quality,Soft,,0.601,Medium,LLM,0.74,0.9,0.6288999999999999,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,focus on control,Soft,,0.601,Medium,LLM,0.74,0.9,0.6288999999999999,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,focus on technology,Soft,,0.604,Medium,LLM,0.77,0.9,0.6346,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,focus on people capability,Soft,,0.605,Medium,LLM,0.77,0.9,0.635,Verified_HIGH,calibrated,True
in-8b20bbf16019e5c1,,focus on innovation,Soft,,0.604,Medium,LLM,0.77,0.9,0.6346,Verified_HIGH,calibrated,True
in-08bda50c77b08f46,,lead effectively,Soft,,0.639,Medium,LLM,0.83,0.9,0.6576,Verified_HIGH,calibrated,True
in-08bda50c77b08f46,,apply fair human resources policies,Soft,,0.634,Medium,LLM,0.79,0.9,0.6496,Verified_HIGH,calibrated,True
in-08bda50c77b08f46,,pay close attention to health enthusiast matters,Soft,,0.633,Medium,LLM,0.78,0.9,0.6477,Verified_HIGH,calibrated,True
in-e60f7f8e30553e08,,build commercial applications,Hard,Create,0.712,Medium High,LLM,0.87,0.9,0.6927999999999999,Verified_HIGH,calibrated,True
in-e60f7f8e30553e08,,use infrastructure as code,Hard,Analyze,0.615,Medium,LLM,0.77,0.9,0.639,Verified_HIGH,calibrated,True
in-e60f7f8e30553e08,,use configuration scripts,Hard,Apply,0.706,Medium High,LLM,0.83,0.9,0.6843999999999999,Verified_HIGH,calibrated,True
in-f8982109357c56e0,,experiment creatively,Soft,,0.649,Medium,LLM,0.9,0.9,0.6721,Verified_HIGH,calibrated,True
in-ea2cd0b0c6f52f4f,,simulate microscopic motion of atoms,Hard,Apply,0.671,Medium,LLM,0.79,0.9,0.6643999999999999,Verified_HIGH,calibrated,True
in-ea2cd0b0c6f52f4f,,simulate macroscopic flow of liquids,Hard,Apply,0.671,Medium,LLM,0.79,0.9,0.6643999999999999,Verified_HIGH,calibrated,True
in-ea2cd0b0c6f52f4f,,build foundation models,Hard,Create,0.674,Medium,LLM,0.81,0.9,0.6686000000000001,Verified_HIGH,calibrated,True
in-26af18a0c573f667,,work with cross-disciplined teams,Soft,,1.0,Very High,BERT+LLM,0.81,1.23,0.8979999999999999,Verified_HIGH,calibrated,True
in-26af18a0c573f667,,"ensure alignment between creative vision, technical execution, and production targets",Soft,,0.645,Medium,LLM,0.83,0.95,0.6749999999999998,Verified_HIGH,calibrated,True
in-26af18a0c573f667,,ensure alignment between creative vision,Hard,Analyze,0.665,Medium,BERT (standalone),0.82,0.85,0.6515,Verified_HIGH,calibrated,True
in-26af18a0c573f667,,technical execution,Hard,Apply,0.512,Medium Low,BERT (standalone),0.87,0.85,0.5978,Verified_MEDIUM,calibrated,True
in-26af18a0c573f667,,production targets.,Hard,Apply,0.512,Medium Low,BERT (standalone),0.87,0.85,0.5978,Verified_MEDIUM,calibrated,True
in-aff3b59d34df3979,,architect code,Hard,Create,0.701,Medium High,LLM,0.8,0.9,0.6779,Verified_HIGH,calibrated,True
in-aff3b59d34df3979,,implement code,Hard,Apply,0.701,Medium High,LLM,0.8,0.9,0.6779,Verified_HIGH,calibrated,True
in-aff3b59d34df3979,,deliver code,Hard,Apply,0.696,Medium,LLM,0.77,0.9,0.6714,Verified_HIGH,calibrated,True
in-aff3b59d34df3979,,write code,Hard,Create,0.692,Medium,LLM,0.74,0.9,0.6728,Verified_HIGH,calibrated,True
in-aff3b59d34df3979,,make decisions,Soft,,0.608,Medium,LLM,0.8,0.9,0.6557,Verified_HIGH,calibrated,True
in-083ac975933f3cb9,,drive customer experience strategy,Soft,,0.64,Medium,LLM,0.83,0.9,0.6579999999999999,Verified_HIGH,calibrated,True
in-083ac975933f3cb9,,innovate consistently,Soft,,0.571,Medium Low,BERT+LLM,0.9,0.9,0.6409,Verified_HIGH,calibrated,True
in-083ac975933f3cb9,,solve problems,Soft,,0.635,Medium,LLM,0.8,0.9,0.7265,Verified_HIGH,calibrated,True
in-083ac975933f3cb9,,problem -solving.,Hard,Apply,0.453,Low,BERT (standalone),0.84,0.81,0.5577000000000001,Verified_MEDIUM,calibrated,True
in-9f46d4765e1e5db4,,build reputation,Soft,,0.639,Medium,LLM,0.83,0.9,0.6576,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,optimize clinical workflows,Hard,Evaluate,1.0,Very High,BERT+LLM,0.85,1.23,0.9039999999999999,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,supervise staff,Soft,,0.673,Medium,LLM,0.81,0.95,0.6832,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,mentor staff,Soft,,0.666,Medium,LLM,0.77,0.95,0.6743999999999999,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,evaluate staff,Soft,,0.671,Medium,LLM,0.8,0.95,0.6809,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,ensure high performance,Hard,Analyze,0.66,Medium,BERT (standalone),0.81,0.85,0.6479999999999999,Verified_HIGH,calibrated,True
in-879b2fe47e1fbc66,,professional growth.,Hard,Apply,0.51,Medium Low,BERT (standalone),0.89,0.85,0.6000000000000001,Verified_HIGH,calibrated,True
in-66b97dc6ae697ac9,,ensure secure access management,Hard,Analyze,0.721,Medium High,LLM,0.81,0.96,0.7054,Verified_HIGH,calibrated,True
in-66b97dc6ae697ac9,,ensure compliant access management,Hard,Analyze,0.725,Medium High,LLM,0.83,0.96,0.7099999999999999,Verified_HIGH,calibrated,True
in-66b97dc6ae697ac9,,ensure auditable access management,Hard,Analyze,1.0,Very High,BERT+LLM,0.84,1.24,0.9055,Verified_HIGH,calibrated,True
in-66b97dc6ae697ac9,,ensuring secure,Hard,Apply,0.512,Medium Low,BERT (standalone),0.81,0.87,0.5948,Verified_MEDIUM,calibrated,True
in-66b97dc6ae697ac9,,compliant,Hard,Apply,0.519,Medium Low,BERT (standalone),0.87,0.87,0.6066,Verified_HIGH,calibrated,True
in-5986e2e416ec3ef2,,drive architectural standards,Hard,Create,1.0,Very High,BERT+LLM,0.88,1.22,0.9055,Verified_HIGH,calibrated,True
in-5986e2e416ec3ef2,,drive architectural processes,Hard,Create,0.642,Medium,LLM,0.87,0.96,0.6827999999999999,Verified_HIGH,calibrated,True
in-5986e2e416ec3ef2,,drive architectural activities,Hard,Create,0.644,Medium,LLM,0.88,0.96,0.6850999999999999,Verified_HIGH,calibrated,True
in-5986e2e416ec3ef2,,processes,Hard,Apply,0.518,Medium Low,BERT (standalone),0.87,0.86,0.6032000000000001,Verified_HIGH,calibrated,True
in-5986e2e416ec3ef2,,activities.,Hard,Apply,0.521,Medium Low,BERT (standalone),0.9,0.86,0.6089,Verified_HIGH,calibrated,True
in-76bdc299da84b00b,,understand customers,Soft,,0.647,Medium,LLM,0.89,0.9,0.6698,Verified_HIGH,calibrated,True
in-dcd8dd1044f2926f,,support proactive approach to managing stormwater systems,Soft,,0.656,Medium,LLM,0.82,0.92,0.6688999999999999,Verified_HIGH,calibrated,True
in-dcd8dd1044f2926f,,support integrated approach to managing stormwater systems,Hard,Create,0.863,High,BERT+LLM,0.84,1.16,0.8267,Verified_HIGH,calibrated,True
in-dcd8dd1044f2926f,,collaborate with internal departments,Soft,,0.661,Medium,LLM,0.86,0.92,0.6769,Verified_HIGH,calibrated,True
in-dcd8dd1044f2926f,,collaborate with external agencies,Soft,,0.658,Medium,LLM,0.83,0.92,0.6712,Verified_HIGH,calibrated,True
in-dcd8dd1044f2926f,,collaborate with the public,Soft,,0.65,Medium,LLM,0.78,0.92,0.6605,Verified_HIGH,calibrated,True
in-dcd8dd1044f2926f,,implement best practices in stormwater management,Hard,Apply,0.663,Medium,LLM,0.82,0.92,0.6717000000000001,Verified_HIGH,calibrated,True
