knowledge,freq,mean_confidence,confidence_score,job_id,source,best_future_domain,trend_label,trend_score,similarity,future_weight,job_text,review_id,human_valid,human_notes,reviewer_id
PDF,1,0.75,0.75,in-bc3b380ce792d5ca,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.16619675,-0.0997180491685867,"Experience with real -time dashboards, analytics tools, voice or AI -related products, or prior work in fast -paced startup environments would be highly valuable but not required. To Apply Please send your CV/resume, portfolio (Figma, Behance, Dribbble or PDF) and a brief cover letter to careers@amplifirm.com with the subject line “UI/UX Designer – [Your Name]”.",know_bcd1b6861775,,,
payroll software,1,0.847,0.847,in-132d07933c8a86bb,BERT+LLM,Routine Data Entry & Clerical,Decline,-0.6,0.45390782,-0.2723446905612945,"Strong computer skills a must, including Microsoft Office suite (Excel, Word, Outlook) and ability to learn new systems (MIS, ADP/payroll software, etc.).",know_f02ccf2a3695,,,
leases,1,0.75,0.75,in-4340aab634b97a0f,LLM,Routine Maintenance Coding,Decline,-0.3,0.15534115,-0.0466023445129394,"Serving public, private, and government entities, we specialize in automating the accounting for an organization's largest areas of spend—including leases, prepaids, and accruals.",know_bbc3c5fc56f5,,,
search warrants,1,0.843,0.843,in-7d12206e33578a17,BERT+LLM,Routine Data Entry & Clerical,Decline,-0.6,0.17473324,-0.1048399418592452,"Examples of such experience are: providing attorneys administrative and technical support for investigations and prosecutions; conducting legal and factual research; preparing evidence and exhibits; drafting legal documents for review, including motions, search warrants, arrest warrants, and documentation relevant to other actions related to the acquisition of evidence and/or testimony for criminal investigations; preparing grand jury and trial subpoenas, attachments to subpoenas and other techn",know_35c4025f9220,,,
finishing,1,0.75,0.75,in-77696a202803c29b,LLM,Routine Maintenance Coding,Decline,-0.3,0.21885261,-0.0656557828187942,"Data & Digital Enablement Support the development and maintenance of analytics platforms to track material utilization, performance, and cost efficiency. Lead initiatives to digitize and streamline material workflows and integrate with PLM/ERP systems. Collaborate with IT and digital innovation teams to ensure the robustness of the material database system. WHAT WE WILL BE LOOKING FOR IN YOU: Technical Expertise Deep knowledge of fabric types, construction, finishing, and performance characteris",know_0c115e260619,,,
Commercial acumen,1,0.75,0.75,in-0b1202bf3556f0ec,LLM,Routine Maintenance Coding,Decline,-0.3,0.20356667,-0.0610700011253356,"Manage procurement and tendering of design -related services. What you'll bring: Design & Technical Expertise: Strong analytical, design, technical and commercial skills, with excellent attention to detail and understanding of project constraints. Leadership Experience: Proven ability to lead, motivate, inspire and manage staff to achieve demanding objectives. Stakeholder & Communication Skills: Strong collaboration, negotiation, influencing, presentation, and networking capabilities. Project Co",know_9796cb7b14d1,,,
manpower development,1,0.75,0.75,in-5f22cc9f13b5d3b9,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.32540673,-0.1952440381050109,"Job Profile Summary: Reporting to Lead, Manpower Development, this role supports the Lead in driving recruitment and manpower growth through conceptualizing innovative schemes and initiatives that will aid the agency leaders in recruiting and retaining talented individuals as Financial Consultants (FC) and Wealth Manager (WM).",know_a6dd20cca571,,,
L3 support,1,0.75,0.75,in-8548b0597f7e73f4,LLM,Legacy Web Development,Decline,-0.4,0.16446854,-0.0657874166965484,You will be also be responsible for providing L3 support for production incidents.,know_c364c3654f92,,,
Patient Safety,1,0.838,0.838,in-7c03bbd4f2e27c3a,BERT+LLM,Routine Data Entry & Clerical,Decline,-0.6,0.17978191,-0.1078691482543945,"Real World Data Scientists who are successful in this role will work on challenging problems, using innovative approaches to accelerate the delivery of Real World Insights and Evidence for key internal and external stakeholders with an emphasis on Clinical Development, Regulatory, and Patient Safety applications.",know_7fca8f4d2133,,,
Health Savings Account,1,0.75,0.75,in-277cf9b06c74153d,LLM,Routine Data Entry & Clerical,Decline,-0.6,0.12316866,-0.0739011973142623,"From your health to your financial wellness, there are several benefits for you and your family when joining Signature Aviation. Our Benefits: Medical/prescription drug, dental, and vision Insurance Health Savings Account Flexible Spending Accounts Life Insurance Disability Insurance 401(k) Critical Illness, Hospital Indemnity and Accident Insurance Identity Theft and Legal Services Paid time off Paid Maternity Leave Tuition reimbursement Training and Development Employee Assistance Program (EAP",know_7b154cb000cb,,,
