competency_id,batch_id,title,description,related_skills,related_skills_with_bloom,skill_focus,future_relevance,all_skills_human_verified,human_quality,human_relevant,human_skill_focus,human_notes,reviewer_id
C2_b1,1,Architect and Lead AI/GEN AI Solution Delivery,Architect and lead the delivery of AI and Generative AI solutions by planning enterprise AI software solutions and overseeing their implementation to meet strategic objectives.,"[""architecting AI /"", ""architect AI/GEN AI solutions"", ""lead delivery of AI solutions"", ""plan enterprise AI software solutions"", ""deliver enterprise AI software solutions""]",architecting AI / (Bloom: Create); architect AI/GEN AI solutions (Bloom: Create); lead delivery of AI solutions (Bloom: nan); plan enterprise AI software solutions (Bloom: nan); deliver enterprise AI software solutions (Bloom: Apply),Both,"As AI becomes more pervasive, the demand for professionals who can design and manage the entire lifecycle of complex AI systems, especially Generative AI, will continue to grow, ensuring successful integration and impact.",,,,,,
C1_b2,2,Design and Deploy Secure Cloud-Native Solutions,Design scalable and secure cloud environments by leveraging infrastructure as code principles and integrating CI/CD pipelines for continuous deployment on platforms like Azure.,"[""leverage Azure DevOps pipelines for CI/CD"", ""design cloud environments"", ""develop on Cloud platforms"", ""manage cloud"", ""supporting cloud (Azure)"", ""secure cloud environments"", ""use infrastructure as code""]",leverage Azure DevOps pipelines for CI/CD (Bloom: Apply); design cloud environments (Bloom: Create); develop on Cloud platforms (Bloom: Create); manage cloud (Bloom: Apply); supporting cloud (Azure) (Bloom: Evaluate); secure cloud environments (Bloom: Apply); use infrastructure as code (Bloom: Analyze),Hard,"Cloud computing is foundational for modern software development, and expertise in designing and securing cloud-native solutions is critical for future infrastructure and application deployment strategies. DevOps practices ensure efficient and reliable delivery.",,,,,,
C1_b3,3,Implement Secure Cloud Infrastructure and Services,"Implement secure and scalable cloud infrastructure and services by deploying infrastructure as code, managing cloud database platforms, and continuously deploying cloud services while adhering to cybersecurity best practices.","[""deploy infrastructure in code"", ""deploy cloud services continuously"", ""manage cloud database platforms"", ""implement cloud database platforms"", ""leverage Cloud middleware"", ""apply DevOps principles""]",deploy infrastructure in code (Bloom: Analyze); deploy cloud services continuously (Bloom: Apply); manage cloud database platforms (Bloom: Apply); implement cloud database platforms (Bloom: Apply); leverage Cloud middleware (Bloom: Apply); apply DevOps principles (Bloom: Apply),Hard,"Cloud computing is foundational for modern software development. This competency ensures professionals can build and maintain robust, secure, and efficient cloud environments, which is critical for digital transformation and innovation.",,,,,,
C8_b4,4,Information Security Reporting and Threat Alerting,Understand and report on information security incidents and alert stakeholders on potential threats to maintain a secure operational environment.,"[""report on information security"", ""alert on information security threats""]",report on information security (Bloom: Understand); alert on information security threats (Bloom: Apply),Hard,Proactive threat intelligence and clear communication are vital for organizational resilience. This competency ensures timely response to evolving cyber risks.,,,,,,
C1_b5,5,Develop and Deploy Scalable Cloud-Native Applications,"Create and deploy scalable, high-performance software solutions by leveraging cloud infrastructure, container orchestration (Kubernetes), and DevOps practices to ensure efficient and reliable operation.","[""innovate IT infrastructure"", ""champion DevOps practices"", ""work with Kubernetes at scale"", ""work with GCP"", ""develop software platforms""]",innovate IT infrastructure (Bloom: Create); champion DevOps practices (Bloom: nan); work with Kubernetes at scale (Bloom: Apply); work with GCP (Bloom: Apply); develop software platforms (Bloom: Create),Both,Cloud computing and containerization are foundational for modern software development. Proficiency in these areas is crucial for building resilient and adaptable systems that can meet evolving business demands and scale efficiently.,,,,,,
C1_b6,6,Develop and Deploy Cloud-Native Applications,Create and deploy containerized and decentralized applications within cloud environments by architecting scalable agent infrastructures and building robust CI/CD pipelines.,"[""deploy decentralized applications"", ""develop containerized applications"", ""architect scalable agent infrastructures"", ""execute global engineering initiatives"", ""maintain CI/CD pipelines"", ""build CI/CD pipelines""]",deploy decentralized applications (Bloom: Apply); develop containerized applications (Bloom: Create); architect scalable agent infrastructures (Bloom: Create); execute global engineering initiatives (Bloom: Create); maintain CI/CD pipelines (Bloom: Analyze); build CI/CD pipelines (Bloom: Create),Hard,"Cloud-native development is fundamental for scalable, resilient, and cost-effective software solutions, driving innovation across industries. Proficiency in this area ensures adaptability to evolving infrastructure demands.",,,,,,
C2_b7,7,Implement and Maintain Advanced Data Analytics Solutions,"Analyze and maintain real-time, high-performance data analytics solutions by transforming data with modern tools and developing innovative data solutions to extract actionable insights.","[""high -performance analytics"", ""maintain real-time analytics solutions"", ""innovative data solutions."", ""analyze data"", ""transform data with modern data transformation tools""]",high -performance analytics (Bloom: Apply); maintain real-time analytics solutions (Bloom: Analyze); innovative data solutions. (Bloom: Apply); analyze data (Bloom: Analyze); transform data with modern data transformation tools (Bloom: Apply),Hard,"Data-driven decision-making is increasingly vital across all industries. This competency prepares individuals to manage and leverage complex data, a skill in high demand for future roles in AI, business intelligence, and scientific research.",,,,,,
C8_b8,8,Design and Produce Interactive Game Experiences,Create engaging interactive game experiences by designing projects and making games that shape the future of gaming and entertainment.,"[""design projects"", ""shape the future of gaming"", ""make games""]",design projects (Bloom: Create); shape the future of gaming (Bloom: nan); make games (Bloom: Apply),Both,"The gaming industry continues to expand, driving demand for creative professionals who can design and develop immersive and innovative digital entertainment.",,,,,,
C9_b9,9,Apply Creative Problem-Solving in Technical Contexts,Apply creative thinking to solve complex technical challenges and achieve scheduling objectives.,"[""creative"", ""scheduling objectives.""]",creative (Bloom: Apply); scheduling objectives. (Bloom: Apply),Hard,"Beyond technical proficiency, creativity and effective planning are increasingly valued for innovating solutions and managing complex projects, especially in dynamic fields like AI development.",,,,,,
C6_b10,10,Manage and Optimize Database Infrastructure,"Analyze and manage database infrastructure to ensure optimal performance, reliability, and data integrity for various applications.","[""manage database infrastructure""]",manage database infrastructure (Bloom: Analyze),Hard,"Databases are the backbone of almost all software systems. Effective database management is crucial for data accessibility, security, and the overall performance of digital services.",,,,,,
