rank,demand_freq,mean_confidence,skill,skill_type,bloom_level,example_job_ids,demand_norm,trend_score_norm,trend_label,trend_q_value,future_weight,future_domain,mapping_margin,future_norm,coverage_gap,validity_score,priority_score,expert_priority
1,14,0.6475,design,Hard,Create,"['in-688c9596567360d1', 'in-0b1202bf3556f0ec', 'in-70a2eb5261b8c030', 'in-70fd1b405f4402fc', 'in-0685ca5ef97fdbe6']",0.9333333333333333,0.0,Unknown,1.0,0.2584370076656341,UX/UI & Digital Design,0.15528095,0.46574835732759595,1.0,0.6475,0.5130578405316122,
2,15,0.6882,collaborate with team,Soft,Unknown,"['in-58bfabff667346c3', 'in-3ba7bd305620f5c0', 'in-842da0921d6c1142', 'in-f8a19f5383c52abe', 'in-66d09a7cc5a289f5']",1.0,0.0,Unknown,1.0,0.1808395147323608,Advanced Communication & Collaboration,0.013019949,0.32590420268094067,1.0,0.6882,0.49777126080428225,
3,12,0.6855833333333333,develop,Hard,Create,"['in-208b2e5025df647a', 'in-8ea91331725eff8e', 'in-cf284d58281847c3', 'in-70a2eb5261b8c030', 'in-d107997caf95d4e7']",0.8,0.0,Unknown,1.0,0.1551322937011718,Advanced Communication & Collaboration,0.064656466,0.27957532712676886,1.0,0.6855833333333333,0.4038725981380307,
4,10,0.4716,self,Hard,Apply,"['in-88a51045bc7d4a9a', 'in-4e852e4285a16380', 'in-4250b91d85b051d1', 'in-66e2f2f3d3633e25', 'in-7d34855edd4c608f']",0.6666666666666666,0.0,Unknown,1.0,0.1838274039328098,Human-AI Collaboration,0.04490012,0.33128889777378295,1.0,0.4716,0.3660533359988015,
5,5,0.6526,collaborate with others,Soft,Unknown,"['in-dcfe1997ded20aef', 'in-74a428bc2a7cdc77', 'in-591531d5445e36c2', 'in-ac61bae22baddace', 'in-cc85d88ea93f1f6b']",0.3333333333333333,0.0,Unknown,1.0,0.4181117460131645,Human-AI Collaboration,0.034447223,0.753509958360733,1.0,0.6526,0.3593863208415532,
6,1,0.594,work with AI-assisted engineering tools,Hard,Create,['in-b6d25c92fe133ceb'],0.06666666666666667,0.0,Unknown,1.0,0.5548854947090148,Human-AI Collaboration,0.13718668,1.0,1.0,0.594,0.32666666666666666,
7,1,1.0,develop AI-powered solutions,Hard,Create,['in-f7d4087daa3ce046'],0.06666666666666667,0.0,Unknown,1.0,0.5541484713554382,Human-AI Collaboration,0.09518218,0.9986717559557704,1.0,1.0,0.3262681934533978,
8,1,0.68,develop machine learning technologies,Hard,Create,['in-208b2e5025df647a'],0.06666666666666667,0.0,Unknown,1.0,0.5533734560012817,AI & Machine Learning,0.24398339,0.9972750437303718,1.0,0.68,0.3258491797857782,
9,1,0.944,deliver AI solutions,Hard,Apply,['in-82a03631efa7b871'],0.06666666666666667,0.0,Unknown,1.0,0.550995397567749,Human-AI Collaboration,0.13024434,0.9929893695575772,1.0,0.944,0.3245634775339398,
10,9,0.6813333333333333,communicate effectively,Soft,Unknown,"['in-ea5fe0c67dbb09a7', 'in-f1d38688733ca9cc', 'in-7dcac2d609f1fbd9', 'in-5a500be9cb192f09', 'in-5906aa7cd05b4ccd']",0.6,0.0,Unknown,1.0,0.1514188051223755,Advanced Communication & Collaboration,0.10881245,0.2728829759764767,1.0,0.6813333333333333,0.321864892792943,
11,1,0.598,apply machine learning technologies,Hard,Analyze,['in-208b2e5025df647a'],0.06666666666666667,0.0,Unknown,1.0,0.5419327020645142,AI & Machine Learning,0.27372512,0.9766568188067465,1.0,0.598,0.3196637123086906,
12,1,0.646,develop Responsible AI Management Systems,Hard,Create,['in-8082f00eb720b9ce'],0.06666666666666667,0.0,Unknown,1.0,0.5406384527683258,Human-AI Collaboration,0.1731264,0.9743243568690505,1.0,0.646,0.31896397372738183,
13,8,0.657375,communication skills,Soft,Unknown,"['in-6a11f6623b90c10e', 'in-f1d38688733ca9cc', 'in-99e491f32ff77da0', 'in-5a500be9cb192f09', 'in-c180dba542c64365']",0.5333333333333333,0.0,Unknown,1.0,0.1922160983085632,Advanced Communication & Collaboration,0.24182707,0.3464067814736488,1.0,0.657375,0.31725536777542795,
14,1,0.571,research Responsible AI Management Systems,Hard,Apply,['in-8082f00eb720b9ce'],0.06666666666666667,0.0,Unknown,1.0,0.5302220523357392,Human-AI Collaboration,0.15520301,0.9555521948069496,1.0,0.571,0.31333232510875153,
15,1,0.503,architecting AI /,Hard,Create,['in-3e332c91d6fcc338'],0.06666666666666667,0.0,Unknown,1.0,0.5295294791460037,Human-AI Collaboration,0.048302114,0.9543040576753443,1.0,0.503,0.31295788396926993,
16,1,0.675,build cloud environments,Hard,Create,['in-04d821a61bf4f3f8'],0.06666666666666667,0.0,Unknown,1.0,0.5234245985746383,Cloud Computing & Infrastructure,0.33573374,0.9433020029639182,1.0,0.675,0.3096572675558421,
17,1,0.981,develop enterprise AI software solutions,Hard,Create,['in-cf284d58281847c3'],0.06666666666666667,0.0,Unknown,1.0,0.5211746037006378,Human-AI Collaboration,0.07760078,0.9392471215596379,1.0,0.981,0.308440803134558,
18,1,0.719,architect AI/GEN AI solutions,Hard,Create,['in-3e332c91d6fcc338'],0.06666666666666667,0.0,Unknown,1.0,0.5206505447626114,Human-AI Collaboration,0.096425265,0.9383026763668486,1.0,0.719,0.30815746957672124,
19,1,0.846,lead delivery of AI solutions,Soft,Unknown,['in-58bfabff667346c3'],0.06666666666666667,0.0,Unknown,1.0,0.5189484715461731,Human-AI Collaboration,0.14459345,0.9352352449189768,1.0,0.846,0.3072372401423597,
20,1,0.598,operate cloud environments,Hard,Evaluate,['in-04d821a61bf4f3f8'],0.06666666666666667,0.0,Unknown,1.0,0.5160130709409714,Cloud Computing & Infrastructure,0.25285587,0.9299451433877752,1.0,0.598,0.3056502096829992,
21,1,0.839,plan enterprise AI software solutions,Soft,Unknown,['in-cf284d58281847c3'],0.06666666666666667,0.0,Unknown,1.0,0.5124392122030258,Human-AI Collaboration,0.053512573,0.9235044294530566,1.0,0.839,0.3037179955025836,
22,1,0.753,assess cybersecurity risk,Hard,Evaluate,['in-2650e0f960a33a06'],0.06666666666666667,0.0,Unknown,1.0,0.5051406919956207,Cybersecurity,0.38569516,0.9103512288792474,1.0,0.753,0.2997720353304409,
23,1,0.486,apply cutting edge machine learning technologies in,Hard,Analyze,['in-208b2e5025df647a'],0.06666666666666667,0.0,Unknown,1.0,0.5044528841972351,AI & Machine Learning,0.21740547,0.9091116798102159,1.0,0.486,0.29940017060973145,
24,1,1.0,deliver enterprise AI software solutions,Hard,Apply,['in-cf284d58281847c3'],0.06666666666666667,0.0,Unknown,1.0,0.500872939825058,Human-AI Collaboration,0.09145549,0.9026599985060317,1.0,1.0,0.29746466621847617,
25,1,0.806,design AI-powered solutions,Hard,Create,['in-f7d4087daa3ce046'],0.06666666666666667,0.0,Unknown,1.0,0.4975345343351364,Human-AI Collaboration,0.13808674,0.8966436122033544,1.0,0.806,0.295659750327673,
26,1,0.598,build career in AI space,Soft,Unknown,['in-dbfc856e6f34e008'],0.06666666666666667,0.0,Unknown,1.0,0.4975292086601257,AI & Machine Learning,0.0019013286,0.896634014412348,1.0,0.598,0.2956568709903711,
27,3,0.7759999999999999,work autonomously,Soft,Unknown,"['in-88a51045bc7d4a9a', 'in-4250b91d85b051d1', 'in-1e75206c2a0eb98c']",0.2,0.0,Unknown,1.0,0.3985778242349624,Human-AI Collaboration,0.032918304,0.7183064398610365,1.0,0.7759999999999999,0.2954919319583109,
28,1,0.587,use Data Engineering in AI/ML,Hard,Create,['in-9ea3874df4d182b6'],0.06666666666666667,0.0,Unknown,1.0,0.495519608259201,AI & Machine Learning,0.0696933,0.8930123655855419,1.0,0.587,0.29457037634232924,
29,1,0.632,leverage AI tools,Hard,Apply,['in-832889a1223dd15f'],0.06666666666666667,0.0,Unknown,1.0,0.4950884163379669,Human-AI Collaboration,0.06052056,0.8922352828804692,1.0,0.632,0.2943372515308074,
30,2,0.6475,collaborate with engineers,Soft,Unknown,"['in-acb2a7db662d2b2b', 'in-5b2e7125d4a2d3a8']",0.13333333333333333,0.0,Unknown,1.0,0.443462523818016,Human-AI Collaboration,0.00437358,0.7991964613358118,1.0,0.6475,0.29309227173407687,
31,1,0.787,harness AI techniques,Hard,Apply,['in-036c776371efd2b7'],0.06666666666666667,0.0,Unknown,1.0,0.4909084588289261,Human-AI Collaboration,0.056229144,0.8847022737301168,1.0,0.787,0.2920773487857017,
32,1,0.682,build cybersecurity solutions,Hard,Create,['in-33451d1313ab6342'],0.06666666666666667,0.0,Unknown,1.0,0.4899472117424011,Cybersecurity,0.23159996,0.8829699395896666,1.0,0.682,0.29155764854356664,
33,1,0.706,manage cloud environments,Hard,Apply,['in-7f1b7715acb11a2e'],0.06666666666666667,0.0,Unknown,1.0,0.4858019053936004,Cloud Computing & Infrastructure,0.20663291,0.8754993778461586,1.0,0.706,0.28931648002051424,
34,1,0.716,implement cybersecurity,Hard,Apply,['in-7461bc5cf0db64c7'],0.06666666666666667,0.0,Unknown,1.0,0.4848436653614044,Cybersecurity,0.2840352,0.8737724629396904,1.0,0.716,0.2887984055485738,
35,1,1.0,deploy AI-powered solutions,Hard,Apply,['in-f7d4087daa3ce046'],0.06666666666666667,0.0,Unknown,1.0,0.4830368727445602,Human-AI Collaboration,0.16240016,0.8705163089510342,1.0,1.0,0.2878215593519769,
36,1,0.719,integrate AI solutions,Hard,Create,['in-82a03631efa7b871'],0.06666666666666667,0.0,Unknown,1.0,0.4818886995315551,Human-AI Collaboration,0.053837,0.8684471014767837,1.0,0.719,0.28720079710970176,
37,1,0.702,perform data analytics,Hard,Apply,['in-7461bc5cf0db64c7'],0.06666666666666667,0.0,Unknown,1.0,0.4773763954639435,Big Data & Analytics,0.13975638,0.8603151461262877,1.0,0.702,0.28476121050455294,
38,1,0.713,implement AI-driven automation,Hard,Apply,['in-e0ae2731dd70688b'],0.06666666666666667,0.0,Unknown,1.0,0.4769381970167159,Human-AI Collaboration,0.0464406,0.8595254364449103,1.0,0.713,0.28452429760013975,
39,1,0.737,use cloud platforms,Hard,Apply,['in-276ee08934e98ebb'],0.06666666666666667,0.0,Unknown,1.0,0.4723102480173111,Cloud Computing & Infrastructure,0.19760978,0.8511850688491926,1.0,0.737,0.2820221873214245,
40,1,0.926,leverage Azure DevOps pipelines for CI/CD,Hard,Apply,['in-d531b391c880d7ca'],0.06666666666666667,0.0,Unknown,1.0,0.4718743354082107,Cloud Computing & Infrastructure,0.2805601,0.8503994786449849,1.0,0.926,0.2817865102601621,
41,1,0.631,work with data scientists,Soft,Unknown,['in-101e930210888ced'],0.06666666666666667,0.0,Unknown,1.0,0.4654911518096924,Big Data & Analytics,0.054763645,0.8388958735600012,1.0,0.631,0.278335428734667,
42,1,0.694,architect AI features,Hard,Create,['in-688c9596567360d1'],0.06666666666666667,0.0,Unknown,1.0,0.4634837552905082,Human-AI Collaboration,0.021307379,0.8352781965107265,1.0,0.694,0.2772501256198846,
43,1,0.677,design cloud environments,Hard,Create,['in-04d821a61bf4f3f8'],0.06666666666666667,0.0,Unknown,1.0,0.4554864227771759,Cloud Computing & Infrastructure,0.15504187,0.8208656148347068,1.0,0.677,0.2729263511170787,
44,1,0.706,develop on Cloud platforms,Hard,Create,['in-8cb2b3de05fe17bb'],0.06666666666666667,0.0,Unknown,1.0,0.4544209599494934,Cloud Computing & Infrastructure,0.17603713,0.8189454658348825,1.0,0.706,0.27235030641713137,
45,1,0.816,prompt AI to generate product videos,Hard,Create,['in-eb1ef332dc16dd51'],0.06666666666666667,0.0,Unknown,1.0,0.4541639998555183,Human-AI Collaboration,0.14303038,0.8184823791324453,1.0,0.816,0.27221138040640025,
46,1,0.621,engage the public with the ethical & sustainable AI agenda,Soft,Unknown,['in-fac0a95b0783fd9d'],0.06666666666666667,0.0,Unknown,1.0,0.4504556104540824,Human-AI Collaboration,0.1328218,0.8117992175850693,1.0,0.621,0.27020643194218746,
47,1,0.644,collaborate with engineering,Soft,Unknown,['in-82265fcf199f7655'],0.06666666666666667,0.0,Unknown,1.0,0.4474680498242378,Human-AI Collaboration,0.022905916,0.8064151146335024,1.0,0.644,0.26859120105671735,
48,1,0.664,measure the effectiveness of cybersecurity programs,Hard,Create,['in-2650e0f960a33a06'],0.06666666666666667,0.0,Unknown,1.0,0.4466572701931,Cybersecurity,0.31796733,0.8049539489716335,1.0,0.664,0.2681528513581567,
49,1,0.686,innovate cybersecurity solutions,Hard,Create,['in-33451d1313ab6342'],0.06666666666666667,0.0,Unknown,1.0,0.4446267038583755,Cybersecurity,0.21537223,0.8012945158920406,1.0,0.686,0.26705502143427884,
50,4,0.5645,designing,Hard,Create,"['in-ea5fe0c67dbb09a7', 'in-3974672cef9dd264', 'in-9fc9c5f45b5702c5', 'in-de5cb81baa037707']",0.26666666666666666,0.0,Unknown,1.0,0.2950065702199936,UX/UI & Digital Design,0.17718479,0.5316530582128423,1.0,0.5645,0.26616258413051935,
51,1,1.0,deploy AI features,Hard,Apply,['in-688c9596567360d1'],0.06666666666666667,0.0,Unknown,1.0,0.4426324948668479,Human-AI Collaboration,0.0594714,0.7977006050572055,1.0,1.0,0.26597684818382833,
52,1,0.728,implement generative AI capabilities,Hard,Apply,['in-07a9c2a299829676'],0.06666666666666667,0.0,Unknown,1.0,0.4415645897388458,AI & Machine Learning,0.017334342,0.7957760546081761,1.0,0.728,0.2653994830491195,
53,1,0.638,manage cloud,Hard,Apply,['in-7461bc5cf0db64c7'],0.06666666666666667,0.0,Unknown,1.0,0.4402708739042282,Cloud Computing & Infrastructure,0.1906124,0.7934445540608496,1.0,0.638,0.2647000328849215,
54,1,0.799,work with analytics professionals,Soft,Unknown,['in-6235657510a0ff3f'],0.06666666666666667,0.0,Unknown,1.0,0.4389715075492859,Big Data & Analytics,0.11231071,0.7911028702948616,1.0,0.799,0.26399752775512514,
55,1,0.379,security‑focused.,Hard,Apply,['in-ac61bae22baddace'],0.06666666666666667,0.0,Unknown,1.0,0.4352490037679672,Cybersecurity,0.17211673,0.7843942721844158,1.0,0.379,0.2619849483219914,
56,2,0.645,collaborate closely,Soft,Unknown,"['in-1bcf64cc46954ca2', 'in-a3fccd73c46d1dc9']",0.13333333333333333,0.0,Unknown,1.0,0.3856894001364708,Human-AI Collaboration,0.009429514,0.6950792619632786,1.0,0.645,0.2618571119223169,
57,1,0.476,Leverage AI:,Hard,Apply,['in-07a9c2a299829676'],0.06666666666666667,0.0,Unknown,1.0,0.4331920444965362,Human-AI Collaboration,0.094525784,0.7806872744505686,1.0,0.476,0.2608728490018372,
58,1,0.684,create actionable intelligence,Hard,Create,['in-9544b23f97dca456'],0.06666666666666667,0.0,Unknown,1.0,0.4308693677186965,Human-AI Collaboration,0.17742866,0.7765014076366276,1.0,0.684,0.2596170889576549,
59,1,0.548,supporting cloud (Azure),Hard,Evaluate,['in-5bd95884fcfdbfe2'],0.06666666666666667,0.0,Unknown,1.0,0.4303333938121795,Cloud Computing & Infrastructure,0.29057327,0.7755354896019562,1.0,0.548,0.2593273135472535,
60,1,0.571,secure cloud environments,Hard,Apply,['in-04d821a61bf4f3f8'],0.06666666666666667,0.0,Unknown,1.0,0.4294901937246322,Cloud Computing & Infrastructure,0.17904302,0.7740158966488381,1.0,0.571,0.2588714356613181,
61,1,0.615,use infrastructure as code,Hard,Analyze,['in-e60f7f8e30553e08'],0.06666666666666667,0.0,Unknown,1.0,0.4294070035219192,Cloud Computing & Infrastructure,0.14224476,0.7738659734601689,1.0,0.615,0.2588264587047173,
62,2,0.7084999999999999,use Kubernetes,Hard,Apply,"['in-68c8bc8b4022b6bd', 'in-7d34855edd4c608f']",0.13333333333333333,0.0,Unknown,1.0,0.3754377648234367,Cloud Computing & Infrastructure,0.2142568,0.6766040352529281,1.0,0.7084999999999999,0.25631454390921177,
63,1,0.645,align risk management processes with cyber security strategy,Hard,Evaluate,['in-ac61bae22baddace'],0.06666666666666667,0.0,Unknown,1.0,0.4216845095157623,Cybersecurity,0.25245592,0.7599486984912015,1.0,0.645,0.2546512762140271,
64,1,0.604,implement security technologies,Hard,Analyze,['in-ec5e0638c86de1ac'],0.06666666666666667,0.0,Unknown,1.0,0.4203650504350662,Cybersecurity,0.18170196,0.757570804144931,1.0,0.604,0.253937907910146,
65,1,0.571,turn analytics into growth engine,Soft,Unknown,['in-e35cdfbe5a9aab37'],0.06666666666666667,0.0,Unknown,1.0,0.4200486302375794,Big Data & Analytics,0.18302578,0.7570005600125758,1.0,0.571,0.25376683467043937,
66,1,0.686,discover actionable intelligence,Hard,Apply,['in-9544b23f97dca456'],0.06666666666666667,0.0,Unknown,1.0,0.4188190132379532,Human-AI Collaboration,0.16844851,0.7547845766946644,1.0,0.686,0.25310203967506595,
67,1,0.641,develop data engineering capability,Soft,Unknown,['in-8abdea0db280093c'],0.06666666666666667,0.0,Unknown,1.0,0.4186610698699951,Big Data & Analytics,0.15594804,0.7544999353236713,1.0,0.641,0.25301664726376805,
68,1,1.0,integrate ML models into real-world applications,Hard,Create,['in-acb2a7db662d2b2b'],0.06666666666666667,0.0,Unknown,1.0,0.4186251759529114,AI & Machine Learning,0.18704326,0.7544352482532289,1.0,1.0,0.25299724114263533,
69,2,0.762,collaborate with Architects,Soft,Unknown,"['in-70a2eb5261b8c030', 'in-5b2e7125d4a2d3a8']",0.13333333333333333,0.0,Unknown,1.0,0.368741600215435,Human-AI Collaboration,0.029925704,0.664536384049479,1.0,0.762,0.252694248548177,
70,6,0.4086666666666667,technical,Hard,Apply,"['in-842da0921d6c1142', 'in-0b1202bf3556f0ec', 'in-1817e77fde92559f', 'in-5c064784cb4d2d46', 'in-82a6c4c6b7d9ca36']",0.4,0.0,Unknown,1.0,0.1701545000076294,Advanced Communication & Collaboration,0.09737527,0.30664795102791326,1.0,0.4086666666666667,0.25199438530837404,
