knowledge,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight
AI Ethics,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.6494368,0.6494368,0.41939113,0.26962936,0.23004565,WEF01,MCK01,WEF_FutureOfJobs_2023,0.6169649332761764
data & AI technologies,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.61370456,0.61370456,0.49149385,0.4875407,0.12221071,WEF02,WEF07,WEF_FutureOfJobs_2023,0.6137045621871948
ethical AI,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.6117528,0.6117528,0.3824453,0.24538948,0.2293075,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5811651676893234
AI tools,2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5780473,0.5780473,0.57784396,0.38926545,0.00020331144,WEF07,MCK01,WEF_FutureOfJobs_2023,0.5780472755432129
AI Infrastructure,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.56909347,0.56909347,0.5561115,0.37313735,0.012981951,WEF07,WEF04,WEF_FutureOfJobs_2023,0.5690934658050537
AI -related,1,0.458,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.59630775,0.59630775,0.5214835,0.34906414,0.07482427,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5664923667907714
AI,18,0.7406111111111111,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5948413,0.5948413,0.5250659,0.3468016,0.0697754,WEF01,MCK01,WEF_FutureOfJobs_2023,0.565099236369133
AI software solutions,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.58639765,0.58639765,0.5364387,0.38275334,0.049958944,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5570777654647827
AI-assisted engineering tools,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5747865,0.5747865,0.43585303,0.37477407,0.13893345,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5460471600294113
machine learning lifecycle,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5449051,0.5449051,0.32686925,0.2764744,0.21803588,3-Dec,WEF07,WEF_FutureOfJobs_2023,0.5449051260948181
AI companion,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5716082,0.5716082,0.39371946,0.3363531,0.17788872,WEF01,MCK01,WEF_FutureOfJobs_2023,0.543027776479721
Cybersecurity programs,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.5993775,0.5993775,0.35302296,0.31000578,0.24635455,ONET02,MCK01,WEF_FutureOfJobs_2023,0.5394397616386414
data & AI technologies and ecosystem.,1,0.544,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.53796095,0.53796095,0.4711621,0.45683295,0.066798836,WEF02,WEF06,WEF_FutureOfJobs_2023,0.537960946559906
AI-related products,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5657252,0.5657252,0.52846944,0.39643613,0.037255764,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5374389469623565
Cloud environments,2,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.62914103,0.62914103,0.41985533,0.28458175,0.2092857,ONET02,WEF06,WEF_FutureOfJobs_2023,0.5347698777914047
Cloud Infrastructure & Orchestration,1,0.806,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.62043804,0.62043804,0.31580728,0.28425506,0.30463076,ONET02,WEF05,WEF_FutureOfJobs_2023,0.527372333407402
AI integration,1,0.847,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.55365795,0.55365795,0.5209158,0.36946216,0.032742143,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5259750515222549
Cybersecurity,3,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.58175766,0.58175766,0.29985234,0.2930691,0.28190532,WEF07,MCK01,WEF_FutureOfJobs_2023,0.5235818982124328
AI solutions,3,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.55051357,0.55051357,0.49362552,0.30289745,0.056888044,WEF01,MCK01,WEF_FutureOfJobs_2023,0.522987887263298
AI models,1,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5181509,0.5181509,0.45431575,0.26197806,0.063835174,WEF07,MCK01,WEF_FutureOfJobs_2023,0.5181509256362915
Cloud services,1,0.75,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.59629846,0.59629846,0.3856299,0.27439785,0.21066856,ONET02,WEF05,WEF_FutureOfJobs_2023,0.506853687763214
AI productivity communities,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5311437,0.5311437,0.4851629,0.32212666,0.04598081,WEF01,MCK02,WEF_FutureOfJobs_2023,0.5045865386724472
AI governance,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.53073245,0.53073245,0.45183572,0.26775163,0.07889673,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5041958302259445
AI workflows,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5270104,0.5270104,0.50754243,0.4787998,0.01946795,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5006598621606827
cloud platforms,4,0.68725,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.58780235,0.58780235,0.39086276,0.3711227,0.19693959,WEF05,ONET02,WEF_FutureOfJobs_2023,0.4996319979429245
data science,5,0.7584,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.55312,0.55312,0.41107085,0.37938434,0.14204916,ONET02,1-Dec,WEF_FutureOfJobs_2023,0.49780801534652713
AI-powered solutions,1,0.75,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52327305,0.52327305,0.43971783,0.31699824,0.08355522,WEF01,MCK01,WEF_FutureOfJobs_2023,0.49710939824581146
cybersecurity engineering,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.552018,0.552018,0.31181034,0.28967637,0.24020764,WEF07,ONET01,WEF_FutureOfJobs_2023,0.4968161880970001
cybersecurity solutions,1,0.75,WEF03,Cybersecurity,Strong_Growth,0.9,0.54380345,0.54380345,0.28985986,0.28584307,0.2539436,ONET02,WEF04,WEF_FutureOfJobs_2023,0.4894231081008911
continuous deployment of cloud services.,1,0.511,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.574566,0.574566,0.31272995,0.2924464,0.26183605,ONET02,3-Dec,WEF_FutureOfJobs_2023,0.4883811056613922
artificial intelligence,2,0.75,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.48278055,0.48278055,0.46748206,0.31897664,0.015298486,WEF07,MCK01,WEF_FutureOfJobs_2023,0.4827805459499359
