skill,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight
work with AI-assisted engineering tools,1,0.594,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.58409,0.58409,0.44690332,0.39171067,0.13718668,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5548854947090148
develop AI-powered solutions,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5833142,0.5833142,0.488132,0.36142337,0.09518218,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5541484713554382
develop machine learning technologies,1,0.68,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.55337346,0.55337346,0.30939007,0.2795225,0.24398339,WEF07,MCK01,WEF_FutureOfJobs_2023,0.5533734560012817
deliver AI solutions,1,0.944,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.57999516,0.57999516,0.4497508,0.3205668,0.13024434,WEF01,MCK01,WEF_FutureOfJobs_2023,0.550995397567749
apply machine learning technologies,1,0.598,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5419327,0.5419327,0.26820758,0.26455104,0.27372512,WEF07,WEF05,WEF_FutureOfJobs_2023,0.5419327020645142
develop Responsible AI Management Systems,1,0.646,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5690931,0.5690931,0.3959667,0.37712222,0.1731264,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5406384527683258
research Responsible AI Management Systems,1,0.571,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5581285,0.5581285,0.40292546,0.36103475,0.15520301,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5302220523357392
architecting AI /,1,0.503,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.55739945,0.55739945,0.50909734,0.34947687,0.048302114,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5295294791460037
build cloud environments,1,0.675,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.61579365,0.61579365,0.2800599,0.27836305,0.33573374,ONET04,2-Dec,WEF_FutureOfJobs_2023,0.5234245985746383
develop enterprise AI software solutions,1,0.981,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54860485,0.54860485,0.47100407,0.40015855,0.07760078,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5211746037006378
architect AI/GEN AI solutions,1,0.719,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5480532,0.5480532,0.45162794,0.29988143,0.096425265,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5206505447626114
lead delivery of AI solutions,1,0.846,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.54626155,0.54626155,0.4016681,0.35986382,0.14459345,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5189484715461731
operate cloud environments,1,0.598,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.6070742,0.6070742,0.35421833,0.28358364,0.25285587,ONET02,WEF06,WEF_FutureOfJobs_2023,0.5160130709409714
plan enterprise AI software solutions,1,0.839,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5394097,0.5394097,0.48589712,0.39728075,0.053512573,WEF01,MCK01,WEF_FutureOfJobs_2023,0.5124392122030258
assess cybersecurity risk,1,0.753,WEF03,Cybersecurity,Strong_Growth,0.9,0.56126744,0.56126744,0.17557229,0.17315513,0.38569516,WEF07,WEF04,WEF_FutureOfJobs_2023,0.5051406919956207
apply cutting edge machine learning technologies in,1,0.486,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.5044529,0.5044529,0.28704742,0.28405708,0.21740547,WEF05,WEF02,WEF_FutureOfJobs_2023,0.5044528841972351
deliver enterprise AI software solutions,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5272347,0.5272347,0.43577918,0.3801437,0.09145549,WEF01,MCK01,WEF_FutureOfJobs_2023,0.500872939825058
design AI-powered solutions,1,0.806,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.52372056,0.52372056,0.38563383,0.324835,0.13808674,WEF01,ONET03,WEF_FutureOfJobs_2023,0.4975345343351364
build career in AI space,1,0.598,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4975292,0.4975292,0.49562788,0.35322303,0.0019013286,WEF07,ONET04,WEF_FutureOfJobs_2023,0.49752920866012573
use Data Engineering in AI/ML,1,0.587,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4955196,0.4955196,0.4258263,0.38137463,0.0696933,WEF02,WEF07,WEF_FutureOfJobs_2023,0.49551960825920105
leverage AI tools,1,0.632,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5211457,0.5211457,0.46062514,0.31192723,0.06052056,WEF01,MCK01,WEF_FutureOfJobs_2023,0.4950884163379669
harness AI techniques,1,0.787,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.51674575,0.51674575,0.4605166,0.27117556,0.056229144,WEF01,MCK01,WEF_FutureOfJobs_2023,0.4909084588289261
build cybersecurity solutions,1,0.682,WEF03,Cybersecurity,Strong_Growth,0.9,0.5443858,0.5443858,0.31278583,0.29759133,0.23159996,WEF04,MCK01,WEF_FutureOfJobs_2023,0.48994721174240113
manage cloud environments,1,0.706,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.57153165,0.57153165,0.36489874,0.22383553,0.20663291,ONET02,WEF06,WEF_FutureOfJobs_2023,0.48580190539360046
implement cybersecurity,1,0.716,WEF03,Cybersecurity,Strong_Growth,0.9,0.5387152,0.5387152,0.25467998,0.2513911,0.2840352,MCK01,WEF07,WEF_FutureOfJobs_2023,0.48484366536140444
deploy AI-powered solutions,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.50845987,0.50845987,0.3460597,0.34090903,0.16240016,WEF01,WEF04,WEF_FutureOfJobs_2023,0.4830368727445602
integrate AI solutions,1,0.719,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.50725126,0.50725126,0.45341426,0.32558602,0.053837,WEF01,MCK01,WEF_FutureOfJobs_2023,0.48188869953155516
perform data analytics,1,0.702,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5304182,0.5304182,0.39066184,0.33798876,0.13975638,ONET02,1-Dec,WEF_FutureOfJobs_2023,0.4773763954639435
implement AI-driven automation,1,0.713,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.5020402,0.5020402,0.4555996,0.4288761,0.0464406,MCK01,WEF01,WEF_FutureOfJobs_2023,0.47693819701671597
use cloud platforms,1,0.737,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5556591,0.5556591,0.35804933,0.28767133,0.19760978,WEF05,ONET02,WEF_FutureOfJobs_2023,0.4723102480173111
leverage Azure DevOps pipelines for CI/CD,1,0.926,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5551463,0.5551463,0.27458617,0.23899758,0.2805601,MCK01,ONET04,WEF_FutureOfJobs_2023,0.4718743354082107
work with data scientists,1,0.631,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.5172124,0.5172124,0.46244875,0.40680423,0.054763645,1-Dec,ONET02,WEF_FutureOfJobs_2023,0.4654911518096924
architect AI features,1,0.694,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.48787764,0.48787764,0.46657026,0.29968372,0.021307379,WEF01,MCK01,WEF_FutureOfJobs_2023,0.4634837552905082
design cloud environments,1,0.677,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5358664,0.5358664,0.3808245,0.37180158,0.15504187,ONET03,2-Dec,WEF_FutureOfJobs_2023,0.4554864227771759
develop on Cloud platforms,1,0.706,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5346129,0.5346129,0.35857576,0.27449343,0.17603713,WEF05,2-Dec,WEF_FutureOfJobs_2023,0.4544209599494934
prompt AI to generate product videos,1,0.816,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.47806737,0.47806737,0.335037,0.25987387,0.14303038,WEF01,ONET04,WEF_FutureOfJobs_2023,0.4541639998555183
engage the public with the ethical & sustainable AI agenda,1,0.621,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4741638,0.4741638,0.341342,0.32130396,0.1328218,WEF06,WEF01,WEF_FutureOfJobs_2023,0.45045561045408244
collaborate with engineering,1,0.644,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.471019,0.471019,0.44811308,0.3561341,0.022905916,MCK02,ONET03,WEF_FutureOfJobs_2023,0.4474680498242378
measure the effectiveness of cybersecurity programs,1,0.664,WEF03,Cybersecurity,Strong_Growth,0.9,0.49628586,0.49628586,0.17831853,0.16430536,0.31796733,ONET02,WEF07,WEF_FutureOfJobs_2023,0.4466572701931
innovate cybersecurity solutions,1,0.686,WEF03,Cybersecurity,Strong_Growth,0.9,0.49402967,0.49402967,0.27865744,0.26580563,0.21537223,WEF07,WEF04,WEF_FutureOfJobs_2023,0.44462670385837555
collaborate with engineers,2,0.6475,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.46680266,0.46680266,0.46242908,0.33637702,0.00437358,MCK02,ONET03,WEF_FutureOfJobs_2023,0.44346252381801604
deploy AI features,1,1.0,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.46592894,0.46592894,0.40645754,0.33493042,0.0594714,WEF01,MCK01,WEF_FutureOfJobs_2023,0.44263249486684797
implement generative AI capabilities,1,0.728,WEF01,AI & Machine Learning,Strong_Growth,1.0,0.4415646,0.4415646,0.42423025,0.23098907,0.017334342,WEF07,MCK01,WEF_FutureOfJobs_2023,0.4415645897388458
manage cloud,1,0.638,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.51796573,0.51796573,0.32735333,0.20016855,0.1906124,ONET02,WEF06,WEF_FutureOfJobs_2023,0.4402708739042282
work with analytics professionals,1,0.799,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.48774612,0.48774612,0.3754354,0.37139624,0.11231071,ONET02,MCK02,WEF_FutureOfJobs_2023,0.4389715075492859
security‑focused.,1,0.379,WEF03,Cybersecurity,Strong_Growth,0.9,0.48361,0.48361,0.31149328,0.29140878,0.17211673,MCK02,ONET02,WEF_FutureOfJobs_2023,0.4352490037679672
Leverage AI:,1,0.476,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.45599163,0.45599163,0.36146584,0.22544816,0.094525784,WEF01,MCK01,WEF_FutureOfJobs_2023,0.43319204449653625
create actionable intelligence,1,0.684,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.4535467,0.4535467,0.27611804,0.26876068,0.17742866,MCK01,WEF01,WEF_FutureOfJobs_2023,0.43086936771869655
supporting cloud (Azure),1,0.548,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5062746,0.5062746,0.21570131,0.17682613,0.29057327,WEF06,ONET02,WEF_FutureOfJobs_2023,0.43033339381217955
secure cloud environments,1,0.571,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5052826,0.5052826,0.32623956,0.2920167,0.17904302,WEF03,ONET02,WEF_FutureOfJobs_2023,0.42949019372463226
use infrastructure as code,1,0.615,WEF04,Cloud Computing & Infrastructure,Strong_Growth,0.85,0.5051847,0.5051847,0.36293995,0.30317456,0.14224476,3-Dec,MCK01,WEF_FutureOfJobs_2023,0.42940700352191924
align risk management processes with cyber security strategy,1,0.645,WEF03,Cybersecurity,Strong_Growth,0.9,0.46853834,0.46853834,0.21608242,0.18413123,0.25245592,MCK01,WEF05,WEF_FutureOfJobs_2023,0.42168450951576236
implement security technologies,1,0.604,WEF03,Cybersecurity,Strong_Growth,0.9,0.46707228,0.46707228,0.28537032,0.27070573,0.18170196,MCK02,ONET03,WEF_FutureOfJobs_2023,0.4203650504350662
turn analytics into growth engine,1,0.571,WEF02,Big Data & Analytics,Strong_Growth,0.9,0.4667207,0.4667207,0.28369492,0.22557993,0.18302578,ONET02,WEF06,WEF_FutureOfJobs_2023,0.4200486302375794
discover actionable intelligence,1,0.686,WEF07,Human-AI Collaboration,Strong_Growth,0.95,0.44086212,0.44086212,0.2724136,0.2702119,0.16844851,MCK01,WEF01,WEF_FutureOfJobs_2023,0.4188190132379532
